time,dangjin_floating,dangjin_warehouse,dangjin,ulsan
2015-01-01 01:00:00,,0.0,0.0,0.0
2015-01-01 02:00:00,,0.0,0.0,0.0
2015-01-01 03:00:00,,0.0,0.0,0.0
2015-01-01 04:00:00,,0.0,0.0,0.0
2015-01-01 05:00:00,,0.0,0.0,0.0
2015-01-01 06:00:00,,0.0,0.0,0.0
2015-01-01 07:00:00,,0.0,0.0,0.0
2015-01-01 08:00:00,,0.0,0.0,0.0
2015-01-01 09:00:00,,12.0,8.0,0.0
2015-01-01 10:00:00,,150.0,227.0,0.0
2015-01-01 11:00:00,,195.0,263.0,0.0
2015-01-01 12:00:00,,270.0,356.0,0.0
2015-01-01 13:00:00,,254.0,333.0,0.0
2015-01-01 14:00:00,,184.0,225.0,0.0
2015-01-01 15:00:00,,131.0,199.0,0.0
2015-01-01 16:00:00,,183.0,218.0,0.0
2015-01-01 17:00:00,,53.0,44.0,0.0
2015-01-01 18:00:00,,0.0,0.0,0.0
2015-01-01 19:00:00,,0.0,0.0,0.0
2015-01-01 20:00:00,,0.0,0.0,0.0
2015-01-01 21:00:00,,0.0,0.0,0.0
2015-01-01 22:00:00,,0.0,0.0,0.0
2015-01-01 23:00:00,,0.0,0.0,0.0
2015-01-02 00:00:00,,0.0,0.0,0.0
2015-01-02 01:00:00,,0.0,0.0,
2015-01-02 02:00:00,,0.0,0.0,
2015-01-02 03:00:00,,0.0,0.0,
2015-01-02 04:00:00,,0.0,0.0,
2015-01-02 05:00:00,,0.0,0.0,
2015-01-02 06:00:00,,0.0,0.0,
2015-01-02 07:00:00,,0.0,0.0,
2015-01-02 08:00:00,,0.0,0.0,
2015-01-02 09:00:00,,9.0,2.0,
2015-01-02 10:00:00,,60.0,59.0,
2015-01-02 11:00:00,,173.0,208.0,
2015-01-02 12:00:00,,326.0,378.0,
2015-01-02 13:00:00,,419.0,513.0,
2015-01-02 14:00:00,,478.0,560.0,
2015-01-02 15:00:00,,420.0,513.0,
2015-01-02 16:00:00,,257.0,309.0,
2015-01-02 17:00:00,,103.0,58.0,
2015-01-02 18:00:00,,3.0,0.0,
2015-01-02 19:00:00,,0.0,0.0,
2015-01-02 20:00:00,,0.0,0.0,
2015-01-02 21:00:00,,0.0,0.0,
2015-01-02 22:00:00,,0.0,0.0,
2015-01-02 23:00:00,,0.0,0.0,
2015-01-03 00:00:00,,0.0,0.0,
2015-01-03 01:00:00,,0.0,0.0,
2015-01-03 02:00:00,,0.0,0.0,
2015-01-03 03:00:00,,0.0,0.0,
2015-01-03 04:00:00,,0.0,0.0,
2015-01-03 05:00:00,,0.0,0.0,
2015-01-03 06:00:00,,0.0,0.0,
2015-01-03 07:00:00,,0.0,0.0,
2015-01-03 08:00:00,,0.0,0.0,
2015-01-03 09:00:00,,17.0,12.0,
2015-01-03 10:00:00,,82.0,99.0,
2015-01-03 11:00:00,,251.0,305.0,
2015-01-03 12:00:00,,394.0,460.0,
2015-01-03 13:00:00,,429.0,497.0,
2015-01-03 14:00:00,,285.0,320.0,
2015-01-03 15:00:00,,202.0,244.0,
2015-01-03 16:00:00,,178.0,220.0,
2015-01-03 17:00:00,,42.0,32.0,
2015-01-03 18:00:00,,1.0,0.0,
2015-01-03 19:00:00,,0.0,0.0,
2015-01-03 20:00:00,,0.0,0.0,
2015-01-03 21:00:00,,0.0,0.0,
2015-01-03 22:00:00,,0.0,0.0,
2015-01-03 23:00:00,,0.0,0.0,
2015-01-04 00:00:00,,0.0,0.0,
2015-01-04 01:00:00,,0.0,0.0,
2015-01-04 02:00:00,,0.0,0.0,
2015-01-04 03:00:00,,0.0,0.0,
2015-01-04 04:00:00,,0.0,0.0,
2015-01-04 05:00:00,,0.0,0.0,
2015-01-04 06:00:00,,0.0,0.0,
2015-01-04 07:00:00,,0.0,0.0,
2015-01-04 08:00:00,,0.0,0.0,
2015-01-04 09:00:00,,11.0,5.0,
2015-01-04 10:00:00,,63.0,81.0,
2015-01-04 11:00:00,,237.0,293.0,
2015-01-04 12:00:00,,268.0,296.0,
2015-01-04 13:00:00,,209.0,280.0,
2015-01-04 14:00:00,,360.0,421.0,
2015-01-04 15:00:00,,285.0,354.0,
2015-01-04 16:00:00,,157.0,193.0,
2015-01-04 17:00:00,,52.0,41.0,
2015-01-04 18:00:00,,1.0,0.0,
2015-01-04 19:00:00,,0.0,0.0,
2015-01-04 20:00:00,,0.0,0.0,
2015-01-04 21:00:00,,0.0,0.0,
2015-01-04 22:00:00,,0.0,0.0,
2015-01-04 23:00:00,,0.0,0.0,
2015-01-05 00:00:00,,0.0,0.0,
2015-01-05 01:00:00,,0.0,0.0,
2015-01-05 02:00:00,,0.0,0.0,
2015-01-05 03:00:00,,0.0,0.0,
2015-01-05 04:00:00,,0.0,0.0,
2015-01-05 05:00:00,,0.0,0.0,
2015-01-05 06:00:00,,0.0,0.0,
2015-01-05 07:00:00,,0.0,0.0,
2015-01-05 08:00:00,,0.0,0.0,
2015-01-05 09:00:00,,14.0,20.0,
2015-01-05 10:00:00,,105.0,145.0,
2015-01-05 11:00:00,,219.0,264.0,
2015-01-05 12:00:00,,229.0,258.0,
2015-01-05 13:00:00,,203.0,229.0,
2015-01-05 14:00:00,,230.0,257.0,
2015-01-05 15:00:00,,161.0,188.0,
2015-01-05 16:00:00,,116.0,133.0,
2015-01-05 17:00:00,,13.0,8.0,
2015-01-05 18:00:00,,0.0,0.0,
2015-01-05 19:00:00,,0.0,0.0,
2015-01-05 20:00:00,,0.0,0.0,
2015-01-05 21:00:00,,0.0,0.0,
2015-01-05 22:00:00,,0.0,0.0,
2015-01-05 23:00:00,,0.0,0.0,
2015-01-06 00:00:00,,0.0,0.0,
2015-01-06 01:00:00,,0.0,0.0,
2015-01-06 02:00:00,,0.0,0.0,
2015-01-06 03:00:00,,0.0,0.0,
2015-01-06 04:00:00,,0.0,0.0,
2015-01-06 05:00:00,,0.0,0.0,
2015-01-06 06:00:00,,0.0,0.0,
2015-01-06 07:00:00,,0.0,0.0,
2015-01-06 08:00:00,,0.0,0.0,
2015-01-06 09:00:00,,34.0,60.0,
2015-01-06 10:00:00,,163.0,253.0,
2015-01-06 11:00:00,,333.0,404.0,
2015-01-06 12:00:00,,447.0,523.0,
2015-01-06 13:00:00,,381.0,590.0,
2015-01-06 14:00:00,,459.0,609.0,
2015-01-06 15:00:00,,439.0,564.0,
2015-01-06 16:00:00,,297.0,365.0,
2015-01-06 17:00:00,,122.0,64.0,
2015-01-06 18:00:00,,3.0,1.0,
2015-01-06 19:00:00,,0.0,0.0,
2015-01-06 20:00:00,,0.0,0.0,
2015-01-06 21:00:00,,0.0,0.0,
2015-01-06 22:00:00,,0.0,0.0,
2015-01-06 23:00:00,,0.0,0.0,
2015-01-07 00:00:00,,0.0,0.0,
2015-01-07 01:00:00,,0.0,0.0,
2015-01-07 02:00:00,,0.0,0.0,
2015-01-07 03:00:00,,0.0,0.0,
2015-01-07 04:00:00,,0.0,0.0,
2015-01-07 05:00:00,,0.0,0.0,
2015-01-07 06:00:00,,0.0,0.0,
2015-01-07 07:00:00,,0.0,0.0,
